precinct,method,candidate,votes
Lower Salford 3,Total,MARTY SELKER(CON),6
Lower Salford 3,Total,Unresolved Write-In,1
Lower Salford 4,Election Day,JOHN C THOMAS(LIB),****
Lower Salford 4,Election Day,LEILA HAZOU(GRE),****
Lower Salford 4,Election Day,MARTY SELKER(CON),****
Lower Salford 4,Election Day,Unresolved Write-In,****
Lower Salford 4,Mail-in,JOHN C THOMAS(LIB),****
Lower Salford 4,Mail-in,LEILA HAZOU(GRE),****
Lower Salford 4,Mail-in,MARTY SELKER(CON),****
Lower Salford 4,Mail-in,Unresolved Write-In,****
Lower Salford 4,Provisional,JOHN C THOMAS(LIB),****
Lower Salford 4,Provisional,LEILA HAZOU(GRE),****
Lower Salford 4,Provisional,MARTY SELKER(CON),****
Lower Salford 4,Provisional,Unresolved Write-In,****
Lower Salford 4,Total,JOHN C THOMAS(LIB),27
Lower Salford 4,Total,LEILA HAZOU(GRE),10
Lower Salford 4,Total,MARTY SELKER(CON),5
Lower Salford 4,Total,Unresolved Write-In,1
Lower Salford 5,Election Day,JOHN C THOMAS(LIB),13
Lower Salford 5,Election Day,LEILA HAZOU(GRE),8
Lower Salford 5,Election Day,MARTY SELKER(CON),1
Lower Salford 5,Election Day,Unresolved Write-In,1
Lower Salford 5,Mail-in,JOHN C THOMAS(LIB),4
Lower Salford 5,Mail-in,LEILA HAZOU(GRE),4
Lower Salford 5,Mail-in,MARTY SELKER(CON),2
Lower Salford 5,Mail-in,Unresolved Write-In,0
Lower Salford 5,Provisional,JOHN C THOMAS(LIB),0
Lower Salford 5,Provisional,LEILA HAZOU(GRE),0
Lower Salford 5,Provisional,MARTY SELKER(CON),0
Lower Salford 5,Provisional,Unresolved Write-In,0
Lower Salford 5,Total,JOHN C THOMAS(LIB),17
Lower Salford 5,Total,LEILA HAZOU(GRE),12
Lower Salford 5,Total,MARTY SELKER(CON),3
Lower Salford 5,Total,Unresolved Write-In,1
Lower Salford 6,Election Day,JOHN C THOMAS(LIB),11
Lower Salford 6,Election Day,LEILA HAZOU(GRE),3
Lower Salford 6,Election Day,MARTY SELKER(CON),2
Lower Salford 6,Election Day,Unresolved Write-In,2
Lower Salford 6,Mail-in,JOHN C THOMAS(LIB),3
Lower Salford 6,Mail-in,LEILA HAZOU(GRE),4
Lower Salford 6,Mail-in,MARTY SELKER(CON),0
Lower Salford 6,Mail-in,Unresolved Write-In,0
Lower Salford 6,Provisional,JOHN C THOMAS(LIB),0
Lower Salford 6,Provisional,LEILA HAZOU(GRE),1
Lower Salford 6,Provisional,MARTY SELKER(CON),0
Lower Salford 6,Provisional,Unresolved Write-In,0
Lower Salford 6,Total,JOHN C THOMAS(LIB),14
Lower Salford 6,Total,LEILA HAZOU(GRE),8
Lower Salford 6,Total,MARTY SELKER(CON),2
Lower Salford 6,Total,Unresolved Write-In,2
Skippack 1,Election Day,JOHN C THOMAS(LIB),15
Skippack 1,Election Day,LEILA HAZOU(GRE),12
Skippack 1,Election Day,MARTY SELKER(CON),2
Skippack 1,Election Day,Unresolved Write-In,3
Skippack 1,Mail-in,JOHN C THOMAS(LIB),3
Skippack 1,Mail-in,LEILA HAZOU(GRE),3
Skippack 1,Mail-in,MARTY SELKER(CON),2
Skippack 1,Mail-in,Unresolved Write-In,0
Skippack 1,Provisional,JOHN C THOMAS(LIB),0
Skippack 1,Provisional,LEILA HAZOU(GRE),0
Skippack 1,Provisional,MARTY SELKER(CON),0
Skippack 1,Provisional,Unresolved Write-In,0
Skippack 1,Total,JOHN C THOMAS(LIB),18
Skippack 1,Total,LEILA HAZOU(GRE),15
Skippack 1,Total,MARTY SELKER(CON),4
Skippack 1,Total,Unresolved Write-In,3
Skippack 2,Election Day,ROBERT P CASEY JR(DEM),626
Skippack 2,Election Day,DAVE MCCORMICK(REP),815
Skippack 2,Mail-in,ROBERT P CASEY JR(DEM),624
Skippack 2,Mail-in,DAVE MCCORMICK(REP),369
Skippack 2,Provisional,ROBERT P CASEY JR(DEM),12
Skippack 2,Provisional,DAVE MCCORMICK(REP),10
