precinct,method,candidate,votes
Horsham 4-3,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 4-3,Provisional,ASHLEY EHASZ(DEM),****
Horsham 4-3,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 4-3,Total,ASHLEY EHASZ(DEM),225
Horsham 4-3,Total,BRIAN FITZPATRICK(REP),275
Horsham 3-2,Election Day,Unresolved Write-In,****
Horsham 3-2,Mail-in,Unresolved Write-In,****
Horsham 3-2,Provisional,Unresolved Write-In,****
Horsham 3-2,Total,Unresolved Write-In,4
Horsham 3-4,Election Day,Unresolved Write-In,****
Horsham 3-4,Mail-in,Unresolved Write-In,****
Horsham 3-4,Provisional,Unresolved Write-In,****
Horsham 3-4,Total,Unresolved Write-In,1
Horsham 3-5,Election Day,Unresolved Write-In,****
Horsham 3-5,Mail-in,Unresolved Write-In,****
Horsham 3-5,Provisional,Unresolved Write-In,****
Horsham 3-5,Total,Unresolved Write-In,1
Horsham 4-1,Election Day,Unresolved Write-In,****
Horsham 4-1,Mail-in,Unresolved Write-In,****
Horsham 4-1,Provisional,Unresolved Write-In,****
Horsham 4-1,Total,Unresolved Write-In,0
Horsham 4-2,Election Day,Unresolved Write-In,****
Horsham 4-2,Mail-in,Unresolved Write-In,****
Horsham 4-2,Provisional,Unresolved Write-In,****
Horsham 4-2,Total,Unresolved Write-In,0
Horsham 4-3,Election Day,Unresolved Write-In,****
Horsham 4-3,Mail-in,Unresolved Write-In,****
Horsham 4-3,Provisional,Unresolved Write-In,****
Horsham 4-3,Total,Unresolved Write-In,1
Horsham 4-4,Election Day,ASHLEY EHASZ(DEM),****
Horsham 4-4,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 4-4,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 4-4,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 4-4,Provisional,ASHLEY EHASZ(DEM),****
Horsham 4-4,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 4-4,Total,ASHLEY EHASZ(DEM),505
Horsham 4-4,Total,BRIAN FITZPATRICK(REP),394
Salford,Election Day,ASHLEY EHASZ(DEM),377
Salford,Election Day,BRIAN FITZPATRICK(REP),"1,094"
Salford,Mail-in,ASHLEY EHASZ(DEM),228
Salford,Mail-in,BRIAN FITZPATRICK(REP),218
Salford,Provisional,ASHLEY EHASZ(DEM),3
Salford,Provisional,BRIAN FITZPATRICK(REP),10
Salford,Total,ASHLEY EHASZ(DEM),608
Salford,Total,BRIAN FITZPATRICK(REP),"1,322"
Marlborough,Election Day,ASHLEY EHASZ(DEM),385
Marlborough,Election Day,BRIAN FITZPATRICK(REP),"1,172"
Marlborough,Mail-in,ASHLEY EHASZ(DEM),394
Marlborough,Mail-in,BRIAN FITZPATRICK(REP),314
Marlborough,Provisional,ASHLEY EHASZ(DEM),12
Marlborough,Provisional,BRIAN FITZPATRICK(REP),7
Marlborough,Total,ASHLEY EHASZ(DEM),791
Marlborough,Total,BRIAN FITZPATRICK(REP),"1,493"
Montgomery 1,Election Day,ASHLEY EHASZ(DEM),****
Montgomery 1,Election Day,BRIAN FITZPATRICK(REP),****
Montgomery 1,Mail-in,ASHLEY EHASZ(DEM),****
Montgomery 1,Mail-in,BRIAN FITZPATRICK(REP),****
Montgomery 1,Provisional,ASHLEY EHASZ(DEM),****
Montgomery 1,Provisional,BRIAN FITZPATRICK(REP),****
Montgomery 1,Total,ASHLEY EHASZ(DEM),611
Montgomery 1,Total,BRIAN FITZPATRICK(REP),552
Montgomery 2,Election Day,ASHLEY EHASZ(DEM),429
Montgomery 2,Election Day,BRIAN FITZPATRICK(REP),580
Montgomery 2,Mail-in,ASHLEY EHASZ(DEM),529
Montgomery 2,Mail-in,BRIAN FITZPATRICK(REP),324
Montgomery 2,Provisional,ASHLEY EHASZ(DEM),8
Montgomery 2,Provisional,BRIAN FITZPATRICK(REP),7
Montgomery 2,Total,ASHLEY EHASZ(DEM),966
Montgomery 2,Total,BRIAN FITZPATRICK(REP),911
Montgomery 3,Election Day,ASHLEY EHASZ(DEM),650
Montgomery 3,Election Day,BRIAN FITZPATRICK(REP),882
Montgomery 3,Mail-in,ASHLEY EHASZ(DEM),730
Montgomery 3,Mail-in,BRIAN FITZPATRICK(REP),406
Montgomery 3,Provisional,ASHLEY EHASZ(DEM),13
Montgomery 3,Provisional,BRIAN FITZPATRICK(REP),10
Montgomery 3,Total,ASHLEY EHASZ(DEM),"1,393"
Montgomery 3,Total,BRIAN FITZPATRICK(REP),"1,298"
Horsham 4-4,Election Day,Unresolved Write-In,****
Horsham 4-4,Mail-in,Unresolved Write-In,****
Horsham 4-4,Provisional,Unresolved Write-In,****
Horsham 4-4,Total,Unresolved Write-In,3
Salford,Election Day,Unresolved Write-In,3
Salford,Mail-in,Unresolved Write-In,1
Salford,Provisional,Unresolved Write-In,0
Salford,Total,Unresolved Write-In,4
Marlborough,Election Day,Unresolved Write-In,11
Marlborough,Mail-in,Unresolved Write-In,1
Marlborough,Provisional,Unresolved Write-In,0
Marlborough,Total,Unresolved Write-In,12
Montgomery 1,Election Day,Unresolved Write-In,****
Montgomery 1,Mail-in,Unresolved Write-In,****
Montgomery 1,Provisional,Unresolved Write-In,****
Montgomery 1,Total,Unresolved Write-In,5
Montgomery 2,Election Day,Unresolved Write-In,3
Montgomery 2,Mail-in,Unresolved Write-In,3
Montgomery 2,Provisional,Unresolved Write-In,0
Montgomery 2,Total,Unresolved Write-In,6
Montgomery 3,Election Day,Unresolved Write-In,8
Montgomery 3,Mail-in,Unresolved Write-In,3
Montgomery 3,Provisional,Unresolved Write-In,0
Montgomery 3,Total,Unresolved Write-In,11
Montgomery 4,Election Day,ASHLEY EHASZ(DEM),****
Montgomery 4,Election Day,BRIAN FITZPATRICK(REP),****
Montgomery 4,Mail-in,ASHLEY EHASZ(DEM),****
Montgomery 4,Mail-in,BRIAN FITZPATRICK(REP),****
Montgomery 4,Provisional,ASHLEY EHASZ(DEM),****
Montgomery 4,Provisional,BRIAN FITZPATRICK(REP),****
Montgomery 4,Total,ASHLEY EHASZ(DEM),454
Montgomery 4,Total,BRIAN FITZPATRICK(REP),542
Montgomery 5,Election Day,ASHLEY EHASZ(DEM),433
Montgomery 5,Election Day,BRIAN FITZPATRICK(REP),577
Montgomery 5,Mail-in,ASHLEY EHASZ(DEM),365
Montgomery 5,Mail-in,BRIAN FITZPATRICK(REP),230
Montgomery 5,Provisional,ASHLEY EHASZ(DEM),11
Montgomery 5,Provisional,BRIAN FITZPATRICK(REP),5
Montgomery 5,Total,ASHLEY EHASZ(DEM),809
Montgomery 5,Total,BRIAN FITZPATRICK(REP),812
Montgomery 6,Election Day,ASHLEY EHASZ(DEM),472
Montgomery 6,Election Day,BRIAN FITZPATRICK(REP),582
Montgomery 6,Mail-in,ASHLEY EHASZ(DEM),360
Montgomery 6,Mail-in,BRIAN FITZPATRICK(REP),255
Montgomery 6,Provisional,ASHLEY EHASZ(DEM),10
Montgomery 6,Provisional,BRIAN FITZPATRICK(REP),13
Montgomery 6,Total,ASHLEY EHASZ(DEM),842
Montgomery 6,Total,BRIAN FITZPATRICK(REP),850
Montgomery 7,Election Day,ASHLEY EHASZ(DEM),592
Montgomery 7,Election Day,BRIAN FITZPATRICK(REP),894
Montgomery 7,Mail-in,ASHLEY EHASZ(DEM),819
Montgomery 7,Mail-in,BRIAN FITZPATRICK(REP),642
Montgomery 7,Provisional,ASHLEY EHASZ(DEM),17
Montgomery 7,Provisional,BRIAN FITZPATRICK(REP),6
Montgomery 7,Total,ASHLEY EHASZ(DEM),"1,428"
Montgomery 7,Total,BRIAN FITZPATRICK(REP),"1,542"
Montgomery 8,Election Day,ASHLEY EHASZ(DEM),724
Montgomery 8,Election Day,BRIAN FITZPATRICK(REP),879
Montgomery 8,Mail-in,ASHLEY EHASZ(DEM),996
Montgomery 8,Mail-in,BRIAN FITZPATRICK(REP),596
Montgomery 8,Provisional,ASHLEY EHASZ(DEM),23
Montgomery 8,Provisional,BRIAN FITZPATRICK(REP),13
Montgomery 8,Total,ASHLEY EHASZ(DEM),"1,743"
Montgomery 8,Total,BRIAN FITZPATRICK(REP),"1,488"
Upper Hanover 1,Election Day,ASHLEY EHASZ(DEM),644
Upper Hanover 1,Election Day,BRIAN FITZPATRICK(REP),"1,377"
Upper Hanover 1,Mail-in,ASHLEY EHASZ(DEM),611
Upper Hanover 1,Mail-in,BRIAN FITZPATRICK(REP),483
Upper Hanover 1,Provisional,ASHLEY EHASZ(DEM),5
Upper Hanover 1,Provisional,BRIAN FITZPATRICK(REP),19
Upper Hanover 1,Total,ASHLEY EHASZ(DEM),"1,260"
Upper Hanover 1,Total,BRIAN FITZPATRICK(REP),"1,879"
Montgomery 4,Election Day,Unresolved Write-In,****
Montgomery 4,Mail-in,Unresolved Write-In,****
Montgomery 4,Provisional,Unresolved Write-In,****
Montgomery 4,Total,Unresolved Write-In,3
Montgomery 5,Election Day,Unresolved Write-In,4
Montgomery 5,Mail-in,Unresolved Write-In,0
Montgomery 5,Provisional,Unresolved Write-In,0
Montgomery 5,Total,Unresolved Write-In,4
Montgomery 6,Election Day,Unresolved Write-In,2
Montgomery 6,Mail-in,Unresolved Write-In,1
Montgomery 6,Provisional,Unresolved Write-In,0
Montgomery 6,Total,Unresolved Write-In,3
Montgomery 7,Election Day,Unresolved Write-In,2
Montgomery 7,Mail-in,Unresolved Write-In,3
Montgomery 7,Provisional,Unresolved Write-In,1
Montgomery 7,Total,Unresolved Write-In,6
Montgomery 8,Election Day,Unresolved Write-In,4
Montgomery 8,Mail-in,Unresolved Write-In,0
Montgomery 8,Provisional,Unresolved Write-In,0
Montgomery 8,Total,Unresolved Write-In,4
Upper Hanover 1,Election Day,Unresolved Write-In,10
Upper Hanover 1,Mail-in,Unresolved Write-In,6
Upper Hanover 1,Provisional,Unresolved Write-In,0
Upper Hanover 1,Total,Unresolved Write-In,16
Upper Hanover 2,Election Day,ASHLEY EHASZ(DEM),****
Upper Hanover 2,Election Day,BRIAN FITZPATRICK(REP),****
Upper Hanover 2,Mail-in,ASHLEY EHASZ(DEM),****
Upper Hanover 2,Mail-in,BRIAN FITZPATRICK(REP),****
Upper Hanover 2,Provisional,ASHLEY EHASZ(DEM),****
Upper Hanover 2,Provisional,BRIAN FITZPATRICK(REP),****
Upper Hanover 2,Total,ASHLEY EHASZ(DEM),337
Upper Hanover 2,Total,BRIAN FITZPATRICK(REP),636
Upper Hanover 3,Election Day,ASHLEY EHASZ(DEM),****
Upper Hanover 3,Election Day,BRIAN FITZPATRICK(REP),****
Upper Hanover 3,Mail-in,ASHLEY EHASZ(DEM),****
Upper Hanover 3,Mail-in,BRIAN FITZPATRICK(REP),****
Upper Hanover 3,Provisional,ASHLEY EHASZ(DEM),****
Upper Hanover 3,Provisional,BRIAN FITZPATRICK(REP),****
Upper Hanover 3,Total,ASHLEY EHASZ(DEM),346
Upper Hanover 3,Total,BRIAN FITZPATRICK(REP),796
Cumulative,Election Day,ASHLEY EHASZ(DEM),0
Cumulative,Election Day,BRIAN FITZPATRICK(REP),0
Cumulative,Mail-in,ASHLEY EHASZ(DEM),0
Cumulative,Mail-in,BRIAN FITZPATRICK(REP),0
Cumulative,Provisional,ASHLEY EHASZ(DEM),0
Cumulative,Provisional,BRIAN FITZPATRICK(REP),0
Cumulative,Total,ASHLEY EHASZ(DEM),0
