precinct,candidate,votes
Penn Forest Township - Northeast,TROY BOWMAN (CON),14
Penn Forest Township - Northwest,CHRIS FOSTER (FWD),1
Penn Forest Township - Northwest,ERIN MCCLELLAND (DEM),384
Penn Forest Township - Northwest,NICKOLAS CIESIELSKI (LIB),20
Penn Forest Township - Northwest,STACY GARRITY (REP),925
Penn Forest Township - Northwest,TROY BOWMAN (CON),8
Penn Forest Township - Southwest,CHRIS FOSTER (FWD),1
Penn Forest Township - Southwest,ERIN MCCLELLAND (DEM),372
Penn Forest Township - Southwest,NICKOLAS CIESIELSKI (LIB),12
Penn Forest Township - Southwest,STACY GARRITY (REP),686
Penn Forest Township - Southwest,TROY BOWMAN (CON),4
Summit Hill Borough - First Ward,CHRIS FOSTER (FWD),1
Summit Hill Borough - First Ward,ERIN MCCLELLAND (DEM),153
Summit Hill Borough - First Ward,NICKOLAS CIESIELSKI (LIB),3
Summit Hill Borough - First Ward,STACY GARRITY (REP),214
Summit Hill Borough - First Ward,TROY BOWMAN (CON),3
Summit Hill Borough - Second Ward,CHRIS FOSTER (FWD),1
Summit Hill Borough - Second Ward,ERIN MCCLELLAND (DEM),162
Summit Hill Borough - Second Ward,NICKOLAS CIESIELSKI (LIB),7
Summit Hill Borough - Second Ward,STACY GARRITY (REP),214
Summit Hill Borough - Second Ward,TROY BOWMAN (CON),3
Summit Hill Borough - Third Ward/First,CHRIS FOSTER (FWD),3
Summit Hill Borough - Third Ward/First,ERIN MCCLELLAND (DEM),169
Summit Hill Borough - Third Ward/First,NICKOLAS CIESIELSKI (LIB),10
Summit Hill Borough - Third Ward/First,STACY GARRITY (REP),293
Summit Hill Borough - Third Ward/First,TROY BOWMAN (CON),6
Summit Hill Borough - Third Ward/Second,CHRIS FOSTER (FWD),1
Summit Hill Borough - Third Ward/Second,ERIN MCCLELLAND (DEM),94
Summit Hill Borough - Third Ward/Second,NICKOLAS CIESIELSKI (LIB),4
Summit Hill Borough - Third Ward/Second,STACY GARRITY (REP),183
Summit Hill Borough - Third Ward/Second,TROY BOWMAN (CON),1
Towamensing Township - North,CHRIS FOSTER (FWD),1
Towamensing Township - North,ERIN MCCLELLAND (DEM),263
Towamensing Township - North,NICKOLAS CIESIELSKI (LIB),27
Towamensing Township - North,STACY GARRITY (REP),645
Towamensing Township - North,TROY BOWMAN (CON),4
Towamensing Township - South-1,CHRIS FOSTER (FWD),2
Towamensing Township - South-1,ERIN MCCLELLAND (DEM),220
Towamensing Township - South-1,NICKOLAS CIESIELSKI (LIB),22
Towamensing Township - South-1,STACY GARRITY (REP),699
Towamensing Township - South-1,TROY BOWMAN (CON),14
Towamensing Township - South-2,CHRIS FOSTER (FWD),1
Towamensing Township - South-2,ERIN MCCLELLAND (DEM),211
Towamensing Township - South-2,NICKOLAS CIESIELSKI (LIB),7
Towamensing Township - South-2,STACY GARRITY (REP),584
Towamensing Township - South-2,TROY BOWMAN (CON),8
Weatherly Borough - East,CHRIS FOSTER (FWD),4
Weatherly Borough - East,ERIN MCCLELLAND (DEM),206
Weatherly Borough - East,NICKOLAS CIESIELSKI (LIB),15
Weatherly Borough - East,STACY GARRITY (REP),543
Weatherly Borough - East,TROY BOWMAN (CON),4
Weatherly Borough - West,CHRIS FOSTER (FWD),3
Weatherly Borough - West,ERIN MCCLELLAND (DEM),93
Weatherly Borough - West,NICKOLAS CIESIELSKI (LIB),2
Weatherly Borough - West,STACY GARRITY (REP),290
Weatherly Borough - West,TROY BOWMAN (CON),3
Weissport Borough,CHRIS FOSTER (FWD),2
Weissport Borough,ERIN MCCLELLAND (DEM),42
Weissport Borough,NICKOLAS CIESIELSKI (LIB),5
Weissport Borough,STACY GARRITY (REP),99
Weissport Borough,TROY BOWMAN (CON),1
