precinct,candidate,votes
Palmerton Borough - West,KAMALA D HARRIS (DEM),126
Parryville Borough,CHASE OLIVER (LIB),2
Parryville Borough,DONALD J TRUMP (REP),155
Parryville Borough,JILL STEIN (GRN),1
Parryville Borough,KAMALA D HARRIS (DEM),63
Penn Forest Township - East,CHASE OLIVER (LIB),2
Penn Forest Township - East,DONALD J TRUMP (REP),735
Penn Forest Township - East,JILL STEIN (GRN),3
Penn Forest Township - East,KAMALA D HARRIS (DEM),446
Penn Forest Township - Middle,CHASE OLIVER (LIB),6
Penn Forest Township - Middle,DONALD J TRUMP (REP),535
Penn Forest Township - Middle,JILL STEIN (GRN),3
Penn Forest Township - Middle,KAMALA D HARRIS (DEM),299
Penn Forest Township - Northeast,CHASE OLIVER (LIB),5
Penn Forest Township - Northeast,DONALD J TRUMP (REP),829
Penn Forest Township - Northeast,JILL STEIN (GRN),3
Penn Forest Township - Northeast,KAMALA D HARRIS (DEM),479
Penn Forest Township - Northwest,CHASE OLIVER (LIB),7
Penn Forest Township - Northwest,DONALD J TRUMP (REP),945
Penn Forest Township - Northwest,JILL STEIN (GRN),7
Penn Forest Township - Northwest,KAMALA D HARRIS (DEM),431
Penn Forest Township - Southwest,CHASE OLIVER (LIB),5
Penn Forest Township - Southwest,DONALD J TRUMP (REP),711
Penn Forest Township - Southwest,JILL STEIN (GRN),1
Penn Forest Township - Southwest,KAMALA D HARRIS (DEM),404
Summit Hill Borough - First Ward,CHASE OLIVER (LIB),1
Summit Hill Borough - First Ward,DONALD J TRUMP (REP),246
Summit Hill Borough - First Ward,JILL STEIN (GRN),1
Summit Hill Borough - First Ward,KAMALA D HARRIS (DEM),157
Summit Hill Borough - Second Ward,CHASE OLIVER (LIB),3
Summit Hill Borough - Second Ward,DONALD J TRUMP (REP),233
Summit Hill Borough - Second Ward,JILL STEIN (GRN),2
Summit Hill Borough - Second Ward,KAMALA D HARRIS (DEM),172
Summit Hill Borough - Third Ward/First,CHASE OLIVER (LIB),3
Summit Hill Borough - Third Ward/First,DONALD J TRUMP (REP),313
Summit Hill Borough - Third Ward/First,JILL STEIN (GRN),2
Summit Hill Borough - Third Ward/First,KAMALA D HARRIS (DEM),183
Summit Hill Borough - Third Ward/Second,CHASE OLIVER (LIB),1
Summit Hill Borough - Third Ward/Second,DONALD J TRUMP (REP),206
Summit Hill Borough - Third Ward/Second,JILL STEIN (GRN),0
Summit Hill Borough - Third Ward/Second,KAMALA D HARRIS (DEM),97
Towamensing Township - North,CHASE OLIVER (LIB),10
Towamensing Township - North,DONALD J TRUMP (REP),668
Towamensing Township - North,JILL STEIN (GRN),2
Towamensing Township - North,KAMALA D HARRIS (DEM),298
Towamensing Township - South-1,CHASE OLIVER (LIB),8
Towamensing Township - South-1,DONALD J TRUMP (REP),727
Towamensing Township - South-1,JILL STEIN (GRN),3
Towamensing Township - South-1,KAMALA D HARRIS (DEM),240
Towamensing Township - South-2,CHASE OLIVER (LIB),2
Towamensing Township - South-2,DONALD J TRUMP (REP),590
Towamensing Township - South-2,JILL STEIN (GRN),3
Towamensing Township - South-2,KAMALA D HARRIS (DEM),235
Weatherly Borough - East,CHASE OLIVER (LIB),7
Weatherly Borough - East,DONALD J TRUMP (REP),562
Weatherly Borough - East,JILL STEIN (GRN),3
Weatherly Borough - East,KAMALA D HARRIS (DEM),230
Weatherly Borough - West,CHASE OLIVER (LIB),2
Weatherly Borough - West,DONALD J TRUMP (REP),315
Weatherly Borough - West,JILL STEIN (GRN),1
Weatherly Borough - West,KAMALA D HARRIS (DEM),97
Weissport Borough,CHASE OLIVER (LIB),1
Weissport Borough,DONALD J TRUMP (REP),111
Weissport Borough,JILL STEIN (GRN),3
Weissport Borough,KAMALA D HARRIS (DEM),45
