election,state,county,precinct,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Second Ward,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,,5,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Second Ward,ATTORNEY GENERAL,RICHARD L WEISS,GRN,,10,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Second Ward,ATTORNEY GENERAL,ROBERT COWBURN,LIB,,17,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Third Ward,ATTORNEY GENERAL,DAVE SUNDAY,REP,,496,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Third Ward,ATTORNEY GENERAL,ERIC L SETTLE,FWD,,2,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Third Ward,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,,298,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Third Ward,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,,5,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Third Ward,ATTORNEY GENERAL,RICHARD L WEISS,GRN,,13,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Third Ward,ATTORNEY GENERAL,ROBERT COWBURN,LIB,,16,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lower Towamensing Township - North,ATTORNEY GENERAL,DAVE SUNDAY,REP,,748,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
