precinct,candidate,votes
Nesquehoning Borough - West,DAVE MCCORMICK (REP),475
Nesquehoning Borough - West,JOHN C THOMAS (LIB),17
Nesquehoning Borough - West,LEILA HAZOU (GRN),7
Nesquehoning Borough - West,MARTY SELKER (CON),2
Nesquehoning Borough - West,ROBERT P CASEY JR (DEM),309
Packer Township,DAVE MCCORMICK (REP),515
Packer Township,JOHN C THOMAS (LIB),6
Packer Township,LEILA HAZOU (GRN),3
Packer Township,MARTY SELKER (CON),1
Packer Township,ROBERT P CASEY JR (DEM),121
Palmerton Borough - East,DAVE MCCORMICK (REP),582
Palmerton Borough - East,JOHN C THOMAS (LIB),12
Palmerton Borough - East,LEILA HAZOU (GRN),5
Palmerton Borough - East,MARTY SELKER (CON),2
Palmerton Borough - East,ROBERT P CASEY JR (DEM),283
Palmerton Borough - Middle,DAVE MCCORMICK (REP),778
Palmerton Borough - Middle,JOHN C THOMAS (LIB),20
Palmerton Borough - Middle,LEILA HAZOU (GRN),10
Palmerton Borough - Middle,MARTY SELKER (CON),3
Palmerton Borough - Middle,ROBERT P CASEY JR (DEM),460
Palmerton Borough - West,DAVE MCCORMICK (REP),268
Palmerton Borough - West,JOHN C THOMAS (LIB),12
Palmerton Borough - West,LEILA HAZOU (GRN),6
Palmerton Borough - West,MARTY SELKER (CON),1
Palmerton Borough - West,ROBERT P CASEY JR (DEM),126
Parryville Borough,DAVE MCCORMICK (REP),154
Parryville Borough,JOHN C THOMAS (LIB),5
Parryville Borough,LEILA HAZOU (GRN),2
Parryville Borough,MARTY SELKER (CON),2
Parryville Borough,ROBERT P CASEY JR (DEM),59
Penn Forest Township - East,DAVE MCCORMICK (REP),709
Penn Forest Township - East,JOHN C THOMAS (LIB),14
Penn Forest Township - East,LEILA HAZOU (GRN),10
Penn Forest Township - East,MARTY SELKER (CON),2
Penn Forest Township - East,ROBERT P CASEY JR (DEM),442
Penn Forest Township - Middle,DAVE MCCORMICK (REP),530
Penn Forest Township - Middle,JOHN C THOMAS (LIB),10
Penn Forest Township - Middle,LEILA HAZOU (GRN),5
Penn Forest Township - Middle,MARTY SELKER (CON),3
Penn Forest Township - Middle,ROBERT P CASEY JR (DEM),294
Penn Forest Township - Northeast,DAVE MCCORMICK (REP),787
Penn Forest Township - Northeast,JOHN C THOMAS (LIB),15
Penn Forest Township - Northeast,LEILA HAZOU (GRN),6
Penn Forest Township - Northeast,MARTY SELKER (CON),9
Penn Forest Township - Northeast,ROBERT P CASEY JR (DEM),478
Penn Forest Township - Northwest,DAVE MCCORMICK (REP),923
Penn Forest Township - Northwest,JOHN C THOMAS (LIB),15
Penn Forest Township - Northwest,LEILA HAZOU (GRN),9
Penn Forest Township - Northwest,MARTY SELKER (CON),4
Penn Forest Township - Northwest,ROBERT P CASEY JR (DEM),427
Penn Forest Township - Southwest,DAVE MCCORMICK (REP),696
Penn Forest Township - Southwest,JOHN C THOMAS (LIB),7
Penn Forest Township - Southwest,LEILA HAZOU (GRN),2
Penn Forest Township - Southwest,MARTY SELKER (CON),3
Penn Forest Township - Southwest,ROBERT P CASEY JR (DEM),412
Summit Hill Borough - First Ward,DAVE MCCORMICK (REP),218
Summit Hill Borough - First Ward,JOHN C THOMAS (LIB),7
Summit Hill Borough - First Ward,LEILA HAZOU (GRN),0
Summit Hill Borough - First Ward,MARTY SELKER (CON),3
Summit Hill Borough - First Ward,ROBERT P CASEY JR (DEM),170
Summit Hill Borough - Second Ward,DAVE MCCORMICK (REP),210
Summit Hill Borough - Second Ward,JOHN C THOMAS (LIB),5
Summit Hill Borough - Second Ward,LEILA HAZOU (GRN),3
Summit Hill Borough - Second Ward,MARTY SELKER (CON),0
Summit Hill Borough - Second Ward,ROBERT P CASEY JR (DEM),185
Summit Hill Borough - Third Ward/First,DAVE MCCORMICK (REP),294
