precinct,candidate,votes
Towamensing Township - North,EUGENE DEPASQUALE (DEM),275
Towamensing Township - North,JUSTIN L MAGILL (CON),4
Towamensing Township - North,RICHARD L WEISS (GRN),8
Towamensing Township - North,ROBERT COWBURN (LIB),27
Towamensing Township - South-1,DAVE SUNDAY (REP),702
Towamensing Township - South-1,ERIC L SETTLE (FWD),2
Towamensing Township - South-1,EUGENE DEPASQUALE (DEM),228
Towamensing Township - South-1,JUSTIN L MAGILL (CON),3
Towamensing Township - South-1,RICHARD L WEISS (GRN),9
Towamensing Township - South-1,ROBERT COWBURN (LIB),16
Towamensing Township - South-2,DAVE SUNDAY (REP),577
Towamensing Township - South-2,ERIC L SETTLE (FWD),1
Towamensing Township - South-2,EUGENE DEPASQUALE (DEM),232
Towamensing Township - South-2,JUSTIN L MAGILL (CON),4
Towamensing Township - South-2,RICHARD L WEISS (GRN),4
Towamensing Township - South-2,ROBERT COWBURN (LIB),7
Weatherly Borough - East,DAVE SUNDAY (REP),530
Weatherly Borough - East,ERIC L SETTLE (FWD),2
Weatherly Borough - East,EUGENE DEPASQUALE (DEM),227
Weatherly Borough - East,JUSTIN L MAGILL (CON),4
Weatherly Borough - East,RICHARD L WEISS (GRN),8
Weatherly Borough - East,ROBERT COWBURN (LIB),15
Weatherly Borough - West,DAVE SUNDAY (REP),293
Weatherly Borough - West,ERIC L SETTLE (FWD),1
Weatherly Borough - West,EUGENE DEPASQUALE (DEM),100
Weatherly Borough - West,JUSTIN L MAGILL (CON),2
Weatherly Borough - West,RICHARD L WEISS (GRN),5
Weatherly Borough - West,ROBERT COWBURN (LIB),4
Weissport Borough,DAVE SUNDAY (REP),103
Weissport Borough,ERIC L SETTLE (FWD),1
Weissport Borough,EUGENE DEPASQUALE (DEM),44
Weissport Borough,JUSTIN L MAGILL (CON),0
Weissport Borough,RICHARD L WEISS (GRN),3
Weissport Borough,ROBERT COWBURN (LIB),5
